Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Login,Chrome 134.0.0.0,,,16-03-2025 13:31:51,16-03-2025 13:32:08,16.513s,PASSED
,,,,,,,
Test Cases/Sprint1/TC_Login,Chrome 134.0.0.0,,,16-03-2025 13:31:52,16-03-2025 13:32:01,9.151s,PASSED
"openBrowser("""")",Chrome 134.0.0.0,,,16-03-2025 13:31:52,16-03-2025 13:31:55,3.019s,PASSED
maximizeWindow(),Chrome 134.0.0.0,,,16-03-2025 13:31:55,16-03-2025 13:31:55,0.083s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.0.0,,,16-03-2025 13:31:55,16-03-2025 13:31:56,0.886s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 134.0.0.0,,,16-03-2025 13:31:56,16-03-2025 13:31:58,2.213s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 134.0.0.0,,,16-03-2025 13:31:58,16-03-2025 13:31:58,0.341s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 134.0.0.0,,,16-03-2025 13:31:58,16-03-2025 13:31:59,0.406s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 134.0.0.0,,,16-03-2025 13:31:59,16-03-2025 13:31:59,0.428s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/button_Open Menu""))",Chrome 134.0.0.0,,,16-03-2025 13:31:59,16-03-2025 13:32:00,0.512s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/a_Logout""))",Chrome 134.0.0.0,,,16-03-2025 13:32:00,16-03-2025 13:32:00,0.428s,PASSED
closeBrowser(),Chrome 134.0.0.0,,,16-03-2025 13:32:00,16-03-2025 13:32:01,0.528s,PASSED
,,,,,,,
Test Cases/Sprint1/TC_Login,Chrome 134.0.0.0,,,16-03-2025 13:32:01,16-03-2025 13:32:08,6.925s,PASSED
"openBrowser("""")",Chrome 134.0.0.0,,,16-03-2025 13:32:01,16-03-2025 13:32:02,1.485s,PASSED
maximizeWindow(),Chrome 134.0.0.0,,,16-03-2025 13:32:02,16-03-2025 13:32:02,0.124s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.0.0,,,16-03-2025 13:32:02,16-03-2025 13:32:03,0.495s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 134.0.0.0,,,16-03-2025 13:32:03,16-03-2025 13:32:05,2.122s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 134.0.0.0,,,16-03-2025 13:32:05,16-03-2025 13:32:05,0.364s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 134.0.0.0,,,16-03-2025 13:32:05,16-03-2025 13:32:06,0.473s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 134.0.0.0,,,16-03-2025 13:32:06,16-03-2025 13:32:06,0.492s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/button_Open Menu""))",Chrome 134.0.0.0,,,16-03-2025 13:32:06,16-03-2025 13:32:07,0.506s,PASSED
"click(findTestObject(""Object Repository/Sprint1/TC_Laogin/Page_Swag Labs/a_Logout""))",Chrome 134.0.0.0,,,16-03-2025 13:32:07,16-03-2025 13:32:07,0.358s,PASSED
closeBrowser(),Chrome 134.0.0.0,,,16-03-2025 13:32:07,16-03-2025 13:32:08,0.459s,PASSED
