Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DEMO,Chrome 134.0.0.0,,,17-03-2025 10:37:40,17-03-2025 10:37:53,13.110s,PASSED
,,,,,,,
Test Cases/RElease1/DEMO,Chrome 134.0.0.0,,,17-03-2025 10:37:40,17-03-2025 10:37:53,12.761s,PASSED
"openBrowser("""")",Chrome 134.0.0.0,,,17-03-2025 10:37:41,17-03-2025 10:37:47,6.287s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.0.0,,,17-03-2025 10:37:47,17-03-2025 10:37:48,0.723s,PASSED
"setText(findTestObject(""Object Repository/Demo1/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 134.0.0.0,,,17-03-2025 10:37:48,17-03-2025 10:37:50,2.173s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Demo1/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 134.0.0.0,,,17-03-2025 10:37:50,17-03-2025 10:37:50,0.458s,PASSED
"click(findTestObject(""Object Repository/Demo1/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 134.0.0.0,,,17-03-2025 10:37:50,17-03-2025 10:37:51,0.451s,PASSED
"click(findTestObject(""Object Repository/Demo1/Page_Swag Labs/button_Open Menu""))",Chrome 134.0.0.0,,,17-03-2025 10:37:51,17-03-2025 10:37:51,0.513s,PASSED
"click(findTestObject(""Object Repository/Demo1/Page_Swag Labs/a_Logout""))",Chrome 134.0.0.0,,,17-03-2025 10:37:51,17-03-2025 10:37:52,0.394s,PASSED
closeBrowser(),Chrome 134.0.0.0,,,17-03-2025 10:37:52,17-03-2025 10:37:53,1.315s,PASSED
